song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Dance Monkey,Tones And I,2019-12-07,11,19,11,8,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-04-07,12,10,7,8,1
Into The Unknown,Idina Menzel & AURORA,2019-12-07,55,0,55,1,1
Mine,Bazzi,2018-02-03,56,0,56,1,1
Indica Badu,Logic Featuring Wiz Khalifa,2018-03-24,56,0,56,1,1
Final Fantasy,Drake,2018-07-14,56,0,56,1,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-07-28,56,0,56,1,1
"If I'm Lyin, I'm Flyin",Kodak Black,2018-10-13,56,0,56,1,1
Hear Me Calling,Juice WRLD,2019-03-16,56,0,56,1,1
Liar,Camila Cabello,2019-09-21,56,0,56,1,1
Heart On Ice,Rod Wave,2019-11-23,56,0,56,1,1
March 14,Drake,2018-07-14,57,0,57,1,1
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",2019-06-01,57,0,57,1,1
Make No Sense,YoungBoy Never Broke Again,2019-10-26,57,0,57,1,1
Money Bag,Cardi B,2018-04-21,58,0,58,1,1
Majesty,Nicki Minaj Featuring Eminem & Labrinth,2018-08-25,58,0,58,1,1
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,2018-12-08,58,0,58,1,1
MoshPit,Kodak Black Featuring Juice WRLD,2018-12-29,58,0,58,1,1
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,2019-08-10,58,0,58,1,1
Internet,Post Malone,2019-09-21,58,0,58,1,1
Nonstop,Drake,2018-07-14,2,0,2,1,1
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-10-13,2,0,2,1,1
If I Can't Have You,Shawn Mendes,2019-05-18,2,0,2,1,1
I Don't Care,Ed Sheeran & Justin Bieber,2019-05-25,2,0,2,1,1
No Tears Left To Cry,Ariana Grande,2018-05-05,3,0,3,1,1
Killshot,Eminem,2018-09-29,3,0,3,1,1
Goodbyes,Post Malone Featuring Young Thug,2019-07-20,3,0,3,1,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-08-04,4,0,4,1,1
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-08-11,5,0,5,1,1
MIA,Bad Bunny Featuring Drake,2018-10-27,5,0,5,1,1
Homicide,Logic Featuring Eminem,2019-05-18,5,0,5,1,1
Futsal Shuffle 2020,Lil Uzi Vert,2019-12-28,5,0,5,1,1
Look Alive,BlocBoy JB Featuring Drake,2018-02-24,6,0,6,1,1
In My Feelings,Drake,2018-07-14,6,0,6,1,1
Lucky You,Eminem Featuring Joyner Lucas,2018-09-15,6,0,6,1,1
I Love It,Kanye West & Lil Pump,2018-09-22,6,0,6,1,1
Going Bad,Meek Mill Featuring Drake,2018-12-15,6,0,6,1,1
Money In The Grave,Drake Featuring Rick Ross,2019-06-29,7,0,7,1,1
Follow God,Kanye West,2019-11-09,7,0,7,1,1
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-04-21,8,0,8,1,1
Kevin's Heart,J. Cole,2018-05-05,8,0,8,1,1
Emotionless,Drake,2018-07-14,8,0,8,1,1
Filthy,Justin Timberlake,2018-01-20,9,0,9,1,1
Freaky Friday,Lil Dicky Featuring Chris Brown,2018-03-31,9,0,9,1,1
No Guidance,Chris Brown Featuring Drake,2019-06-22,9,0,9,1,1
KOD,J. Cole,2018-05-05,10,0,10,1,1
Fake Love,BTS,2018-06-02,10,0,10,1,1
Let It Fly,Lil Wayne Featuring Travis Scott,2018-10-13,10,0,10,1,1
God Is A Woman,Ariana Grande,2018-07-28,11,0,11,1,1
IDOL,BTS Featuring Nicki Minaj,2018-09-08,11,0,11,1,1
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-08-24,11,0,11,1,1
Fall,Eminem,2018-09-15,12,0,12,1,1
Mob Ties,Drake,2018-07-14,13,0,13,1,1
Earfquake,"Tyler, The Creator",2019-06-01,13,0,13,1,1
Elevate,Drake,2018-07-14,14,0,14,1,1
Needy,Ariana Grande,2019-02-23,14,0,14,1,1
Motiv8,J. Cole,2018-05-05,15,0,15,1,1
Never Recover,Lil Baby & Gunna Featuring Drake,2018-10-20,15,0,15,1,1
Nightmare,Halsey,2019-06-01,15,0,15,1,1
Never Really Over,Katy Perry,2019-06-15,15,0,15,1,1
Hollywood's Bleeding,Post Malone,2019-09-21,15,0,15,1,1
Lose You To Love Me,Selena Gomez,2019-11-02,15,0,15,1,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-12-01,22,15,11,8,1
Shallow,Lady Gaga & Bradley Cooper,2018-12-01,23,24,5,8,1
Better Now,Post Malone,2018-06-30,23,20,7,8,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-02-24,23,20,14,8,1
"Thank U, Next",Ariana Grande,2018-11-17,1,0,1,1,1
7 Rings,Ariana Grande,2019-02-02,1,0,1,1,1
Sucker,Jonas Brothers,2019-03-16,1,0,1,1,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-03-10,2,0,2,1,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-02-23,2,0,2,1,1
Senorita,Shawn Mendes & Camila Cabello,2019-07-06,2,0,2,1,1
Call Out My Name,The Weeknd,2018-04-14,4,0,4,1,1
Sicko Mode,Travis Scott,2018-08-18,4,0,4,1,1
"10,000 Hours",Dan + Shay & Justin Bieber,2019-10-19,4,0,4,1,1
Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-13,5,0,5,1,1
Please Me,Cardi B & Bruno Mars,2019-03-02,5,0,5,1,1
ATM,J. Cole,2018-05-05,6,0,6,1,1
Diplomatic Immunity,Drake,2018-02-03,7,0,7,1,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-02-17,7,0,7,1,1
Better Now,Post Malone,2018-05-12,7,0,7,1,1
Bad Guy,Billie Eilish,2019-04-13,7,0,7,1,1
Circles,Post Malone,2019-09-14,7,0,7,1,1
Stargazing,Travis Scott,2018-08-18,8,0,8,1,1
Boy With Luv,BTS Featuring Halsey,2019-04-27,8,0,8,1,1
Boyfriend,Ariana Grande & Social House,2019-08-17,8,0,8,1,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-09-21,8,0,8,1,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-02-10,9,0,9,1,1
Don't Matter To Me,Drake Featuring Michael Jackson,2018-07-14,9,0,9,1,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-11-03,9,0,9,1,1
Paranoid,Post Malone,2018-05-12,11,0,11,1,1
All Mine,Kanye West,2018-06-16,11,0,11,1,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-10-19,11,0,11,1,1
Blinding Lights,The Weeknd,2019-12-14,11,0,11,1,1
Apes**t,The Carters,2018-06-30,13,0,13,1,1
Rap Devil,Machine Gun Kelly,2018-09-22,13,0,13,1,1
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",2019-09-28,13,0,13,1,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-06,14,0,14,1,1
Photograph,J. Cole,2018-05-05,14,0,14,1,1
Rich & Sad,Post Malone,2018-05-12,14,0,14,1,1
Dedicate,Lil Wayne,2018-10-13,14,0,14,1,1
Spoil My Night,Post Malone Featuring Swae Lee,2018-05-12,15,0,15,1,1
Plug Walk,Rich The Kid,2018-04-14,13,18,13,8,1
Taste,Tyga Featuring Offset,2018-07-28,13,18,13,8,1
Suge,DaBaby,2019-06-01,14,16,14,8,1
A Lot,21 Savage,2019-02-23,15,12,12,8,1
Be Careful,Cardi B,2018-06-02,16,23,11,8,1
I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,2018-09-08,69,0,69,1,1
