,rank,artist,title,date
0,1,Mariah Carey,All I Want For Christmas Is You,2021-01-02
1,2,Brenda Lee,Rockin' Around The Christmas Tree,2021-01-02
2,3,Bobby Helms,Jingle Bell Rock,2021-01-02
3,4,Burl Ives,A Holly Jolly Christmas,2021-01-02
4,5,Andy Williams,It's The Most Wonderful Time Of The Year,2021-01-02
5,6,Jose Feliciano,Feliz Navidad,2021-01-02
6,7,24kGoldn Featuring iann dior,Mood,2021-01-02
7,8,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",2021-01-02
8,9,Wham!,Last Christmas,2021-01-02
9,10,Chuck Berry,Run Rudolph Run,2021-01-02
10,11,Nat King Cole,The Christmas Song (Merry Christmas To You),2021-01-02
11,12,Kelly Clarkson,Underneath The Tree,2021-01-02
12,13,The Ronettes,Sleigh Ride,2021-01-02
13,14,Ariana Grande,Positions,2021-01-02
14,15,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,2021-01-02
15,16,Gene Autry,Rudolph The Red-Nosed Reindeer,2021-01-02
16,17,Ariana Grande,Santa Tell Me,2021-01-02
17,18,Andy Williams,Happy Holiday / The Holiday Season,2021-01-02
18,19,Darlene Love,Christmas (Baby Please Come Home),2021-01-02
19,20,Bing Crosby,White Christmas,2021-01-02
20,21,Justin Bieber Featuring Chance The Rapper,Holy,2021-01-02
21,22,Perry Como,(There's No Place Like) Home For The Holidays,2021-01-02
22,23,Michael Buble,It's Beginning To Look A Lot Like Christmas,2021-01-02
23,24,Chris Brown & Young Thug,Go Crazy,2021-01-02
24,25,Drake Featuring Lil Durk,Laugh Now Cry Later,2021-01-02
25,26,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),2021-01-02
26,27,Dua Lipa Featuring DaBaby,Levitating,2021-01-02
27,28,Paul McCartney,Wonderful Christmastime,2021-01-02
28,29,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,2021-01-02
29,30,Gabby Barrett Featuring Charlie Puth,I Hope,2021-01-02
30,31,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,2021-01-02
31,32,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",2021-01-02
32,33,Elvis Presley,Blue Christmas,2021-01-02
33,34,Bad Bunny & Jhay Cortez,Dakiti,2021-01-02
34,35,Megan Thee Stallion,Body,2021-01-02
35,36,Bing Crosby & The Andrews Sisters,Mele Kalikimaka (Merry Christmas),2021-01-02
36,37,AJR,Bang!,2021-01-02
37,38,Taylor Swift,Willow,2021-01-02
38,39,Donny Hathaway,This Christmas,2021-01-02
39,40,Ariana Grande,34+35,2021-01-02
40,41,Ava Max,Kings & Queens,2021-01-02
41,42,Billie Eilish,Therefore I Am,2021-01-02
42,43,Nat King Cole,Deck The Halls,2021-01-02
43,44,BTS,Dynamite,2021-01-02
44,45,Eagles,Please Come Home For Christmas,2021-01-02
45,46,Jackson 5,Santa Claus Is Comin' To Town,2021-01-02
46,47,The Beach Boys,Little Saint Nick,2021-01-02
47,48,Dan + Shay,Take Me Home For Christmas,2021-01-02
48,49,Michael Buble,Have Yourself A Merry Little Christmas,2021-01-02
49,50,Bing Crosby,I'll Be Home For Christmas,2021-01-02
50,51,Pop Smoke,What You Know Bout Love,2021-01-02
51,52,CJ,Whoopty,2021-01-02
52,53,Justin Bieber & benny blanco,Lonely,2021-01-02
53,54,Carrie Underwood & John Legend,Hallelujah,2021-01-02
54,55,Cardi B Featuring Megan Thee Stallion,WAP,2021-01-02
55,56,Lil Nas X,Holiday,2021-01-02
56,57,Luke Combs,Better Together,2021-01-02
57,58,Lil Baby,On Me,2021-01-02
58,59,Ed Sheeran,Afterglow,2021-01-02
59,60,Eminem,Gnat,2021-01-02
60,61,Justin Bieber,Rockin' Around The Christmas Tree,2021-01-02
61,62,Carrie Underwood,Favorite Time Of Year,2021-01-02
62,63,Maluma & The Weeknd,Hawai,2021-01-02
63,64,Shawn Mendes & Justin Bieber,Monster,2021-01-02
64,65,Sam Smith,Diamonds,2021-01-02
65,66,Chris Stapleton,Starting Over,2021-01-02
66,67,Megan Thee Stallion Featuring DaBaby,Cry Baby,2021-01-02
67,68,Tate McRae,You Broke Me First.,2021-01-02
68,69,Machine Gun Kelly X blackbear,My Ex's Best Friend,2021-01-02
69,70,The Kid LAROI,Without You,2021-01-02
70,71,Chris Lane,"Big, Big Plans",2021-01-02
