,artist,song,uri
0,Ava Max,Kings & Queens,spotify:track:7a53HqqArd4b9NF4XAmlbI
1,Outkast,Ms. Jackson,spotify:track:0I3q5fE6wg7LIfHGngUTnV
2,Kidz Bop Kids,Kings & Queens,spotify:track:4wbEBmAhxOchkSdfltzavr
3,Sam Tinnesz,Play with Fire (feat. Yacht Money),spotify:track:7vguMCv8uVuZLiQJ156u3Z
4,Mat Kearney,Kings & Queens,spotify:track:0vy1K9FhCK8woHW7MKEcBG
5,Lady A,Champagne Night - From Songland,spotify:track:48F2xnWq3LuzYWML327Z2r
6,Ganja White Night,Champagne,spotify:track:12meTNzgcD8Eup11KXEDR6
7,Cavo,Champagne,spotify:track:3C5cvFzAklAzMffGjirEVw
8,Lady A,Champagne Night - Tiki Bar Version,spotify:track:1AjG24L8zkolIJYuIiQzQw
9,Paul Smith,Champagne Nights,spotify:track:4h0D0ZU3FGxer95YUZw7oX
10,Megan Thee Stallion,Cry Baby (feat. DaBaby),spotify:track:4aarlAfLKVCTxUDNgbwhjH
11,The Neighbourhood,Cry Baby,spotify:track:0EfsDEYaSjGYd66Pr881nq
12,Melanie Martinez,Play Date,spotify:track:4DpNNXFMMxQEKl7r0ykkWA
13,Melanie Martinez,Cry Baby,spotify:track:052vSBPxqdmYRDlkSPiavc
14,Janis Joplin,Cry Baby,spotify:track:3L60Vu9qmY6fg2QroRIxgi
15,Megan Thee Stallion,Body,spotify:track:0A1hoCfMLkiAgvhWkkucJa
16,Sam Hunt,Body Like A Back Road,spotify:track:7mldq42yDuxiUNn08nvzHO
17,Loud Luxury,Body,spotify:track:21RzyxY3EFaxVy6K4RqaU9
18,Tion Wayne,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",spotify:track:6uvMKqNlrSvcC4NaKnrwjZ
19,DJ Khaled,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)",spotify:track:1IZGMPe57hATuLJgmMR4eP
20,Wham!,Last Christmas,spotify:track:2FRnf9qhLbvw8fu4IBXx78
21,Ariana Grande,Last Christmas,spotify:track:5xDrO9DEDJGUQGfyoHvgDJ
22,Wham!,Last Christmas - Remastered,spotify:track:6wn2nmFn3wDuiMldRiuRuL
23,Taylor Swift,Last Christmas,spotify:track:2IprIjGNRlj3TfqUWCAo0C
24,Frank Sinatra,I Couldn't Sleep A Wink Last Night - Remastered,spotify:track:4Hbk7bsJPmM0CkVOElCBdB
25,AJR,Bang!,spotify:track:53BHUFdQphHiZUUG3nx9zn
26,Jessie J,Bang Bang,spotify:track:0puf9yIluy9W0vpMEUoAnN
