song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2 Much,Justin Bieber,2021-04-03,68,0,68,1,1,0oaY19dUwZimIgzn3ZZLZO,spotify:track:0oaY19dUwZimIgzn3ZZLZO,0.583,0.444,9,-8.601,1,0.0456,0.593,0.0,0.353,0.167,119.59,152796,4
34+35,Ariana Grande,2021-05-01,26,21,2,18,1,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4
7 Summers,Morgan Wallen,2021-02-13,35,23,18,7,1,4obHzpwGrjoTuZh2DItEMZ,spotify:track:4obHzpwGrjoTuZh2DItEMZ,0.466,0.786,0,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507,4
865,Morgan Wallen,2021-02-20,76,77,46,5,1,0sKEilrw1GrBlG6qsTCrP4,spotify:track:0sKEilrw1GrBlG6qsTCrP4,0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003,190680,4
Adderall (Corvette Corvette),Popp Hunna,2021-02-06,99,90,74,6,1,3aAmQOxRPeKDL0HMWFA5qn,spotify:track:3aAmQOxRPeKDL0HMWFA5qn,0.913,0.391,4,-11.158,0,0.368,0.272,0.0,0.0666,0.713,141.05,136224,4
Afterglow,Ed Sheeran,2021-03-06,94,65,29,10,1,0E4Y1XIbs8GrAT1YqVy6dq,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,185487,4
Ain't Always The Cowboy,Jon Pardi,2021-01-16,76,83,76,2,1,77XoAnllT85lmR9WP0D8dS,spotify:track:77XoAnllT85lmR9WP0D8dS,0.539,0.837,9,-3.458,1,0.0385,0.0094,0.0,0.262,0.551,151.913,220881,4
All I Got,Rod Wave,2021-04-10,71,0,71,1,1,4WjKemXvKTBbNFXZlQSxtf,spotify:track:4WjKemXvKTBbNFXZlQSxtf,0.516,0.509,1,-9.611,1,0.443,0.415,0.0,0.708,0.682,75.927,193455,1
Almost Maybes,Jordan Davis,2021-05-01,76,80,73,13,1,14JFKtBSqefxfMiKhq6JT8,spotify:track:14JFKtBSqefxfMiKhq6JT8,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,179153,4
Anyone,Justin Bieber,2021-05-01,68,70,6,16,1,31qCy5ZaophVA81wtlwLc4,spotify:track:31qCy5ZaophVA81wtlwLc4,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779,4
Arcade,Duncan Laurence,2021-05-01,94,100,94,2,1,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624,3
Astronaut In The Ocean,Masked Wolf,2021-05-01,7,10,7,10,1,3Ofmpyhv5UAQ70mENzB277,spotify:track:3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,132780,4
Backdoor,Lil Durk,2021-02-13,95,74,62,4,1,1MUsTqcuOaBeMnEL73K4fS,spotify:track:1MUsTqcuOaBeMnEL73K4fS,0.665,0.549,4,-7.597,0,0.311,0.107,3.51e-06,0.27,0.229,82.069,200000,4
Bang!,AJR,2021-03-13,35,31,8,11,1,53BHUFdQphHiZUUG3nx9zn,spotify:track:53BHUFdQphHiZUUG3nx9zn,0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858,4
Beers And Sunshine,Darius Rucker,2021-04-03,100,81,42,13,1,36ISlLb12gKuCCVTYXC0gb,spotify:track:36ISlLb12gKuCCVTYXC0gb,0.57,0.645,5,-5.816,1,0.0304,0.134,0.0,0.147,0.677,81.084,178279,4
Before You Go,Lewis Capaldi,2021-02-27,33,32,24,8,1,2gMXnyrvIjhVBUZwvLZDMP,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
Better Together,Luke Combs,2021-04-03,47,44,15,14,1,6gdLyYNuhWBzqwlOFSsXC7,spotify:track:6gdLyYNuhWBzqwlOFSsXC7,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,219573,4
