song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dance Monkey,Tones And I,11.0,19.0,11.0,8.0,1.0,2XU0oxnq2qxCpomAAuJY8K,0.8240000000000001,0.588,6.0,-6.4,0.0,0.0924,0.6920000000000001,0.00010400000000000001,0.149,0.513,98.027,209438.0,4.0
Mine,Bazzi,56.0,0.0,56.0,1.0,1.0,7uzmGiiJyRfuViKKK3lVmR,0.71,0.789,4.0,-3.8739999999999997,1.0,0.0722,0.0161,2.77e-06,0.451,0.7170000000000001,142.929,131064.0,4.0
Final Fantasy,Drake,56.0,0.0,56.0,1.0,1.0,44Du2IM1bGY7dicmLfXbUs,0.5,0.449,0.0,-10.977,1.0,0.442,0.42200000000000004,7.96e-06,0.115,0.10400000000000001,144.20600000000002,219960.0,1.0
Hear Me Calling,Juice WRLD,56.0,0.0,56.0,1.0,1.0,13ZyrkCDmRz5xY3seuAWYk,0.6990000000000001,0.687,7.0,-3.997,0.0,0.106,0.308,3.63e-05,0.121,0.499,88.932,189977.0,4.0
Liar,Camila Cabello,56.0,0.0,56.0,1.0,1.0,7LzouaWGFCy4tkXDOOnEyM,0.74,0.498,11.0,-6.684,0.0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039.0,4.0
Bad Liar,Imagine Dragons,79.0,0.0,79.0,1.0,1.0,2RSHsoi04658QL5xgQVov3,0.38299999999999995,0.637,3.0,-6.992999999999999,1.0,0.0703,0.0722,0.0,0.368,0.0827,177.91299999999998,260773.0,4.0
Heart On Ice,Rod Wave,56.0,0.0,56.0,1.0,1.0,6fWa5CRgy0z30OeGZyMBvD,0.733,0.389,10.0,-8.468,0.0,0.0738,0.0513,0.0,0.141,0.244,157.878,159670.0,3.0
March 14,Drake,57.0,0.0,57.0,1.0,1.0,09lmraDvzBT3pUQ2rUtJzK,0.5579999999999999,0.414,10.0,-7.355,0.0,0.358,0.405,0.0,0.36,0.318,127.094,309560.0,4.0
Make No Sense,YoungBoy Never Broke Again,57.0,0.0,57.0,1.0,1.0,6klLvorLoo1sxvZcjJIY8I,0.8759999999999999,0.733,10.0,-4.478,0.0,0.33299999999999996,0.0208,0.0,0.0999,0.9620000000000001,154.904,148630.0,4.0
Money Bag,Cardi B,58.0,0.0,58.0,1.0,1.0,1vBeIXlzbAieGoDqInav5j,0.9470000000000001,0.7879999999999999,10.0,-6.138,0.0,0.124,0.107,0.000691,0.10800000000000001,0.45399999999999996,129.977,229005.0,4.0
Internet,Post Malone,58.0,0.0,58.0,1.0,1.0,0KAzP1Rbp0Vz5pw8i1KDDI,0.469,0.489,0.0,-6.071000000000001,1.0,0.0314,0.841,0.0,0.10300000000000001,0.201,74.013,123387.0,4.0
Nonstop,Drake,2.0,0.0,2.0,1.0,1.0,0TlLq3lA83rQOYtrqBqSct,0.912,0.41200000000000003,7.0,-8.074,1.0,0.12300000000000001,0.0165,0.0126,0.10400000000000001,0.423,154.983,238614.0,4.0
If I Can't Have You,Shawn Mendes,2.0,0.0,2.0,1.0,1.0,6LsAAHotRLMOHfCsSfYCsz,0.6920000000000001,0.809,2.0,-4.198,1.0,0.0602,0.524,0.0,0.147,0.8640000000000001,123.911,190800.0,4.0
Killshot,Eminem,3.0,0.0,3.0,1.0,1.0,1jo3TwNGCXfNdB5uba3ZVv,0.893,0.6509999999999999,0.0,-8.647,0.0,0.36700000000000005,0.0995,0.0,0.371,0.6,105.835,253580.0,4.0
Too Good At Goodbyes,Sam Smith,8.0,8.0,4.0,15.0,1.0,3VlbOrM6nYPprVvzBZllE5,0.6809999999999999,0.37200000000000005,5.0,-8.237,1.0,0.0432,0.64,0.0,0.16899999999999998,0.47600000000000003,91.87299999999999,201000.0,4.0
Futsal Shuffle 2020,Lil Uzi Vert,5.0,0.0,5.0,1.0,1.0,2Ec33AVlkTTq8BHFgBTdQs,0.8809999999999999,0.457,7.0,-8.191,0.0,0.156,0.0327,0.0,0.231,0.29600000000000004,136.97,198913.0,4.0
In My Feelings,Drake,6.0,0.0,6.0,1.0,1.0,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.832999999999999,1.0,0.125,0.0589,5.9999999999999995e-05,0.396,0.35,91.03,217925.0,4.0
Follow God,Kanye West,7.0,0.0,7.0,1.0,1.0,2QpGZOhTCHHiKmpSO9FW4h,0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591.0,4.0
On Me,Lil Baby,60.0,0.0,0.0,0.0,1.0,4Iedi94TIaB2GGb1nMB68v,0.856,0.564,6.0,-6.295,0.0,0.392,0.0032700000000000003,0.0,0.134,0.483,77.972,135960.0,4.0
Emotionless,Drake,8.0,0.0,8.0,1.0,1.0,5Psnhdkyanjpgc2P8A5TSM,0.414,0.677,1.0,-5.12,1.0,0.254,0.0248,0.0,0.0793,0.0853,172.521,302173.0,4.0
Filthy,Justin Timberlake,9.0,0.0,9.0,1.0,1.0,1L3NV7VrCiuE8C5QlhdeQL,0.745,0.579,1.0,-5.771,1.0,0.138,0.0354,0.0118,0.24600000000000002,0.645,97.00200000000001,293947.0,4.0
KOD,J. Cole,10.0,0.0,10.0,1.0,1.0,7yotKA30dwTKNEGomV9ZsI,0.823,0.7829999999999999,0.0,-6.274,1.0,0.154,0.21,0.0,0.113,0.19899999999999998,141.882,191437.0,4.0
Falling,Harry Styles,62.0,0.0,62.0,1.0,1.0,1ZMiCix7XSAbfAJlEZWMCp,0.5670000000000001,0.267,4.0,-6.502000000000001,1.0,0.0299,0.8390000000000001,1.46e-06,0.08900000000000001,0.0592,110.01100000000001,240133.0,4.0
I Fall Apart,Post Malone,16.0,16.0,16.0,13.0,1.0,75ZvA4QfFiZvzhj2xkaWAh,0.556,0.5379999999999999,8.0,-5.4079999999999995,0.0,0.0382,0.0689,0.0,0.196,0.29100000000000004,143.95,223347.0,4.0
Falling,Trevor Daniel,42.0,75.0,42.0,2.0,1.0,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10.0,-8.756,0.0,0.0364,0.12300000000000001,0.0,0.0887,0.23600000000000002,127.085,159382.0,4.0
Mob Ties,Drake,13.0,0.0,13.0,1.0,1.0,7rC5Pl8rQSX4myONQHYPBK,0.754,0.575,4.0,-8.392999999999999,0.0,0.0682,0.045,0.00131,0.276,0.491,86.009,205147.0,4.0
Elevate,Drake,14.0,0.0,14.0,1.0,1.0,3szf2z1Cy1QMrtHrbn8rz9,0.758,0.474,1.0,-8.72,1.0,0.147,0.0152,0.0,0.11599999999999999,0.0542,76.061,184960.0,4.0
Motiv8,J. Cole,15.0,0.0,15.0,1.0,1.0,1AT4xjNarTswd0UZ5FlmKF,0.8690000000000001,0.385,4.0,-7.801,1.0,0.297,0.135,0.0,0.0931,0.596,149.89700000000002,133922.0,4.0
Nightmare,Halsey,15.0,0.0,15.0,1.0,1.0,340UVheS8z3ncW9TTUhAbc,0.611,0.622,9.0,-5.075,0.0,0.0734,0.0188,0.0,0.359,0.5379999999999999,146.11,231999.0,4.0
Everybody Dies In Their Nightmares,XXXTENTACION,42.0,0.0,42.0,5.0,1.0,3GVkPk8mqxz0itaAriG1L7,0.7340000000000001,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,95467.0,4.0
