song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Kings & Queens,Ava Max,2021-01-02,41,30,15,8,1
Champagne Night,Lady A,2021-01-02,80,0,33,6,1
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021-01-02,67,95,28,18,1
Body,Megan Thee Stallion,2021-01-02,35,22,16,16,1
Last Christmas,Wham!,2021-01-02,9,14,9,1,1
Bang!,AJR,2021-01-02,37,33,8,11,1
Champagne Problems,Taylor Swift,2021-01-02,77,21,77,1,1
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-01-02,25,17,7,11,1
Little Saint Nick,The Beach Boys,2021-01-02,47,0,47,1,1
Levitating,Dua Lipa Featuring DaBaby,2021-01-02,27,27,5,18,1
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,2021-01-02,8,11,8,2,1
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,2021-01-02,31,24,12,11,1
Christmas (Baby Please Come Home),Darlene Love,2021-01-02,19,37,19,1,1
Lonely,Justin Bieber & benny blanco,2021-01-02,53,51,12,11,1
Jingle Bell Rock,Bobby Helms,2021-01-02,3,4,3,2,1
Go Crazy,Chris Brown & Young Thug,2021-01-02,24,16,3,18,1
"Big, Big Plans",Chris Lane,2021-01-02,71,73,49,9,1
Gnat,Eminem,2021-01-02,60,0,60,1,1
Forever After All,Luke Combs,2021-01-02,73,92,35,18,1
Golden,Harry Styles,2021-01-02,95,0,57,12,1
Good Time,Niko Moon,2021-01-02,82,96,20,14,1
Better Together,Luke Combs,2021-01-02,57,59,15,14,1
Hallelujah,Carrie Underwood & John Legend,2021-01-02,54,84,54,1,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021-01-02,29,25,11,18,1
Love You Like I Used To,Russell Dickerson,2021-01-02,79,83,50,5,1
Happy Holiday / The Holiday Season,Andy Williams,2021-01-02,18,26,18,1,1
Have Yourself A Merry Little Christmas,Michael Buble,2021-01-02,49,0,49,1,1
Feliz Navidad,Jose Feliciano,2021-01-02,6,10,6,2,1
Hawai,Maluma & The Weeknd,2021-01-02,63,65,43,4,1
Favorite Time Of Year,Carrie Underwood,2021-01-02,62,99,62,1,1
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,2021-01-02,26,69,26,1,1
Hit Different,SZA Featuring Ty Dolla $ign,2021-01-02,90,0,62,6,1
Hole In The Bottle,Kelsea Ballerini,2021-01-02,96,0,39,11,1
Dynamite,BTS,2021-01-02,44,9,5,15,1
Holiday,Lil Nas X,2021-01-02,56,56,43,7,1
Bichota,Karol G,2021-01-02,88,0,72,10,1
Holy,Justin Bieber Featuring Chance The Rapper,2021-01-02,21,13,4,12,1
I Hope,Gabby Barrett Featuring Charlie Puth,2021-01-02,30,20,8,11,1
Diamonds,Sam Smith,2021-01-02,65,66,39,7,1
I'll Be Home For Christmas,Bing Crosby,2021-01-02,50,0,50,1,1
Damage,H.E.R.,2021-01-02,92,0,44,18,1
