song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2 Much,Justin Bieber,68,0,68,1,1,0oaY19dUwZimIgzn3ZZLZO,0.583,0.444,9.0,-8.601,1.0,0.0456,0.593,0.0,0.353,0.167,119.59,152796.0,4.0
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,19,40,8,9,1,6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,173711.0,4.0
4 Da Gang,42 Dugg & Roddy Ricch,87,83,67,6,1,4KIkADzoVm3A10E9qyjsQ5,0.871,0.545,7.0,-10.489,1.0,0.189,0.0143,0.0,0.148,0.722,100.482,155720.0,4.0
7 Summers,Morgan Wallen,35,23,6,24,1,4obHzpwGrjoTuZh2DItEMZ,0.466,0.786,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507.0,4.0
865,Morgan Wallen,76,77,46,5,1,0sKEilrw1GrBlG6qsTCrP4,0.532,0.584,8.0,-5.254,1.0,0.0248,0.723,0.0,0.101,0.367,88.003,190680.0,4.0
A Holly Jolly Christmas,Burl Ives,17,4,4,20,1,77khP2fIVhSW23NwxrRluh,0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,135533.0,4.0
AP,Pop Smoke,99,64,64,2,1,17vGPZ5EsdvtgAOCD4FLWI,0.751,0.744,1.0,-6.859,1.0,0.177,0.152,0.000568,0.252,0.634,148.014,171892.0,4.0
Adderall (Corvette Corvette),Popp Hunna,99,90,74,6,1,3aAmQOxRPeKDL0HMWFA5qn,0.913,0.391,4.0,-11.158,0.0,0.368,0.272,0.0,0.0666,0.713,141.05,136224.0,4.0
Afterglow,Ed Sheeran,65,57,29,9,1,0E4Y1XIbs8GrAT1YqVy6dq,0.641,0.324,11.0,-5.851,1.0,0.0299,0.698,0.0,0.328,0.273,110.184,185487.0,4.0
Ain't Always The Cowboy,Jon Pardi,76,83,55,18,1,77XoAnllT85lmR9WP0D8dS,0.539,0.837,9.0,-3.458,1.0,0.0385,0.0094,0.0,0.262,0.551,151.913,220881.0,4.0
All I Got,Rod Wave,71,0,71,1,1,4WjKemXvKTBbNFXZlQSxtf,0.516,0.509,1.0,-9.611,1.0,0.443,0.415,0.0,0.708,0.682,75.927,193455.0,1.0
All I Know So Far,P!nk,74,0,74,1,1,4LmN3eU1R1vVEdKuDELpGk,0.578,0.639,4.0,-5.749,1.0,0.0374,0.0586,0.0,0.0944,0.296,108.045,277413.0,4.0
All I Want For Christmas Is You,Mariah Carey,9,1,1,44,1,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,241107.0,4.0
Almost Maybes,Jordan Davis,86,73,73,9,1,14JFKtBSqefxfMiKhq6JT8,0.582,0.868,11.0,-3.927,1.0,0.0522,0.146,0.0,0.103,0.555,90.105,179153.0,4.0
Antes,Anuel AA & Ozuna,100,0,100,1,1,73O30uMI7n6DuzBmbtO7kC,0.817,0.737,6.0,-5.453,0.0,0.102,0.046,1.57e-05,0.092,0.67,93.985,206587.0,4.0
Anyone,Justin Bieber,31,33,6,9,1,31qCy5ZaophVA81wtlwLc4,0.686,0.538,2.0,-8.026,1.0,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779.0,4.0
Arcade,Duncan Laurence,78,89,78,5,1,1Xi84slp6FryDSCbzq4UCD,0.45,0.329,9.0,-12.603,0.0,0.0441,0.818,0.00109,0.135,0.266,71.884,183624.0,3.0
As I Am,Justin Bieber Featuring Khalid,92,72,43,3,1,4MmMxyew8yq1OEyJOMaX6M,0.608,0.547,11.0,-8.151,1.0,0.0368,0.131,0.0,0.0974,0.108,99.947,174406.0,4.0
Astronaut In The Ocean,Masked Wolf,10,10,10,9,1,3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,132780.0,4.0
B.S.,Jhene Aiko Featuring H.E.R.,56,52,24,23,1,63wx9vdskaXbYxyDx4oJCZ,0.617,0.525,8.0,-10.426,0.0,0.12,0.554,1.1e-06,0.135,0.377,135.781,212867.0,4.0
Back In Blood,Pooh Shiesty Featuring Lil Durk,13,13,13,9,1,7JuHVG3qQKQKxC4doneXVW,0.759,0.538,8.0,-8.256,0.0,0.384,0.151,0.0,0.126,0.831,146.933,184490.0,4.0
Back To The Streets,Saweetie Featuring Jhene Aiko,58,68,58,9,1,3MEruRteiUZXkStfTlZqRn,0.865,0.792,4.0,-4.207,1.0,0.0677,0.168,1.46e-05,0.107,0.562,101.985,189496.0,4.0
Backdoor,Lil Durk,95,0,62,4,1,1MUsTqcuOaBeMnEL73K4fS,0.665,0.549,4.0,-7.597,0.0,0.311,0.107,3.51e-06,0.27,0.229,82.069,200000.0,4.0
Bad Boy,Juice WRLD & Young Thug,98,83,22,5,1,43CIWpJaJHRcI4mUSjqgc2,0.697,0.674,1.0,-6.326,1.0,0.0533,0.00215,0.0,0.138,0.198,81.535,157355.0,4.0
Baila Conmigo,Selena Gomez With Rauw Alejandro,84,0,74,2,1,079Ey5uxL04AKPQgVQwx5h,0.823,0.544,5.0,-7.132,1.0,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088.0,4.0
Bandido,Myke Towers & Juhn,98,91,82,7,1,1xK1Gg9SxG8fy2Ya373oqb,0.713,0.617,8.0,-4.637,1.0,0.0887,0.122,0.0,0.0962,0.682,168.021,232853.0,4.0
Bang!,AJR,35,31,8,35,1,53BHUFdQphHiZUUG3nx9zn,0.74,0.516,1.0,-6.233,0.0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858.0,4.0
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,20,25,15,9,1,6toQdWWc4noiOk3Eo5mVDS,0.853,0.426,1.0,-6.812,1.0,0.374,0.0765,0.0,0.104,0.201,160.051,200424.0,4.0
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,19,18,18,9,1,6fRxMU4LWwyaSSowV441IU,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,227395.0,4.0
Beers And Sunshine,Darius Rucker,46,55,46,9,1,36ISlLb12gKuCCVTYXC0gb,0.57,0.645,5.0,-5.816,1.0,0.0304,0.134,0.0,0.147,0.677,81.084,178279.0,4.0
Before You Go,Lewis Capaldi,33,32,9,52,1,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0
Best Friend,Saweetie Featuring Doja Cat,22,22,22,9,1,2etHQJxIbV0soyPhelVs9Y,0.84,0.766,4.0,-4.12,1.0,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884.0,4.0
Better Days,Ant Clemons Featuring Justin Timberlake,94,0,94,1,1,2K0r5GD5zYlEMx2M7ZMcqG,0.626,0.726,5.0,-5.015,1.0,0.0376,0.235,0.0,0.304,0.257,89.132,144530.0,4.0
Better Together,Luke Combs,47,44,15,25,1,6gdLyYNuhWBzqwlOFSsXC7,0.552,0.225,0.0,-11.501,1.0,0.0477,0.827,0.0,0.111,0.67,138.002,219573.0,4.0
Bichota,Karol G,75,88,73,9,1,7vrJn5hDSXRmdXoR30KgF1,0.863,0.666,1.0,-4.158,0.0,0.152,0.212,0.000493,0.103,0.838,163.908,178947.0,4.0
Big Gangsta,Kevin Gates,92,88,81,5,1,2HYvkdq6lpFXkVz9Tfqi8r,0.879,0.574,10.0,-5.602,0.0,0.391,0.519,8.76e-06,0.144,0.346,144.911,243463.0,4.0
Big Paper,DJ Khaled Featuring Cardi B,84,0,84,1,1,2ES75ADP1RR9TQmYqtDtyB,0.725,0.638,1.0,-4.906,1.0,0.204,0.00838,0.0,0.104,0.316,119.795,159538.0,5.0
Big Purr (Prrdd),Coi Leray & Pooh Shiesty,89,82,69,3,1,5byWPNSh2hi0ULmDxBgLyV,0.774,0.412,1.0,-8.619,1.0,0.378,0.026,0.0,0.088,0.38,139.943,116760.0,4.0
"Big, Big Plans",Chris Lane,89,86,42,20,1,7yNJCsUH3tXlpQiHSsAc5l,0.574,0.58,7.0,-6.091,1.0,0.0278,0.076,0.0,0.12,0.4,149.974,187307.0,4.0
Blame It On You,Jason Aldean,71,87,71,3,1,2CwG4BXIlGmmYLDmDvwMTH,0.484,0.783,2.0,-5.334,1.0,0.0308,0.0957,0.000118,0.107,0.594,137.918,215360.0,4.0
Blame On You,Rod Wave,65,0,65,1,1,2wv6Kof28CpUCVkSuATXW9,0.697,0.684,1.0,-7.272,0.0,0.187,0.264,0.0,0.0398,0.712,161.922,165926.0,4.0
Blinding Lights,The Weeknd,12,11,1,75,1,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
Body,Megan Thee Stallion,16,20,12,9,1,0A1hoCfMLkiAgvhWkkucJa,0.914,0.732,8.0,-6.1,0.0,0.241,0.0166,0.0,0.107,0.469,94.066,171067.0,4.0
Body In Motion,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",79,0,79,1,1,1IZGMPe57hATuLJgmMR4eP,0.669,0.687,6.0,-5.782,0.0,0.12,0.009,0.0,0.508,0.335,91.969,306194.0,4.0
