song_x,performer,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri_x,track_href,analysis_url,duration_ms,time_signature,uri_y,hitTF_x,hitTF_x,chart_position_x,previous_position_x,weeks_on_chart_x,peak_x,chart_position_y,previous_position_y,weeks_on_chart_y,peak_y,chart_position,previous_position,weeks_on_chart,peak
0,Dance Monkey,Tones And I,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,audio_features,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K,209438.0,4.0,spotify:track:2XU0oxnq2qxCpomAAuJY8K,1.0,1.0,11.0,19.0,8.0,11.0,11.0,19.0,8.0,11.0,11.0,19.0,8.0,11.0
46656,Dance Monkey,Kidz Bop Kids,0.794,0.679,6.0,-5.395,0.0,0.104,0.166,1.87e-06,0.134,0.547,98.16,audio_features,6iCX17mrswsT0QgOclgqy3,spotify:track:6iCX17mrswsT0QgOclgqy3,https://api.spotify.com/v1/tracks/6iCX17mrswsT0QgOclgqy3,https://api.spotify.com/v1/audio-analysis/6iCX17mrswsT0QgOclgqy3,200933.0,4.0,spotify:track:6iCX17mrswsT0QgOclgqy3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46657,Dance Monkey - Stripped Back,Tones And I,0.664,0.212,6.0,-7.762,0.0,0.046,0.931,0.0,0.102,0.574,83.245,audio_features,1ooBIqsmV1ocRldBZrvLPD,spotify:track:1ooBIqsmV1ocRldBZrvLPD,https://api.spotify.com/v1/tracks/1ooBIqsmV1ocRldBZrvLPD,https://api.spotify.com/v1/audio-analysis/1ooBIqsmV1ocRldBZrvLPD,171461.0,4.0,spotify:track:2XU0oxnq2qxCpomAAuJY8K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46658,I Bet You Look Good On The Dancefloor,Arctic Monkeys,0.535,0.948,6.0,-4.19,0.0,0.0356,0.00225,0.0,0.376,0.778,103.183,audio_features,29EkMZmUNz1WsuzaMtVo1i,spotify:track:29EkMZmUNz1WsuzaMtVo1i,https://api.spotify.com/v1/tracks/29EkMZmUNz1WsuzaMtVo1i,https://api.spotify.com/v1/audio-analysis/29EkMZmUNz1WsuzaMtVo1i,173680.0,4.0,spotify:track:29EkMZmUNz1WsuzaMtVo1i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46659,Pray For Me,The Weeknd,0.732,0.678,2.0,-4.977,1.0,0.0886,0.0867,2.41e-05,0.112,0.196,100.626,audio_features,6huNf4dutXRjJyGn7f5BPS,spotify:track:6huNf4dutXRjJyGn7f5BPS,https://api.spotify.com/v1/tracks/6huNf4dutXRjJyGn7f5BPS,https://api.spotify.com/v1/audio-analysis/6huNf4dutXRjJyGn7f5BPS,211421.0,4.0,spotify:track:6huNf4dutXRjJyGn7f5BPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46660,Show Out (with Skepta & Pop Smoke),Kid Cudi,0.619,0.589,1.0,-6.531,1.0,0.124,0.43,0.000392,0.378,0.158,143.896,audio_features,5CFJRZRq6sdKKtRwNPWbYv,spotify:track:5CFJRZRq6sdKKtRwNPWbYv,https://api.spotify.com/v1/tracks/5CFJRZRq6sdKKtRwNPWbYv,https://api.spotify.com/v1/audio-analysis/5CFJRZRq6sdKKtRwNPWbYv,174960.0,4.0,spotify:track:5CFJRZRq6sdKKtRwNPWbYv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46661,Pray For Me (with Kendrick Lamar),The Weeknd,0.735,0.677,2.0,-4.979,1.0,0.093,0.0762,2.17e-05,0.111,0.188,100.584,audio_features,77UjLW8j5UAGAGVGhR5oUK,spotify:track:77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/tracks/77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/audio-analysis/77UjLW8j5UAGAGVGhR5oUK,211440.0,4.0,spotify:track:6huNf4dutXRjJyGn7f5BPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46662,HUMBLE.,Kendrick Lamar,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000.0,4.0,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46663,Pray For Me,G-Eazy,0.77,0.502,5.0,-9.604,0.0,0.13,0.0614,0.0,0.069,0.305,127.946,audio_features,6wOCaV1MY8CN2ujNJSfr5z,spotify:track:6wOCaV1MY8CN2ujNJSfr5z,https://api.spotify.com/v1/tracks/6wOCaV1MY8CN2ujNJSfr5z,https://api.spotify.com/v1/audio-analysis/6wOCaV1MY8CN2ujNJSfr5z,207907.0,4.0,spotify:track:6wOCaV1MY8CN2ujNJSfr5z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46664,Into the Unknown,Idina Menzel,0.323,0.405,10.0,-8.533,0.0,0.0413,0.849,0.000544,0.138,0.274,145.104,audio_features,3Z0oQ8r78OUaHvGPiDBR3W,spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,https://api.spotify.com/v1/tracks/3Z0oQ8r78OUaHvGPiDBR3W,https://api.spotify.com/v1/audio-analysis/3Z0oQ8r78OUaHvGPiDBR3W,194848.0,5.0,spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46665,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,0.456,0.828,1.0,-6.225,1.0,0.077,0.0244,0.0,0.21,0.313,116.719,audio_features,421eObjg0DTm2qajJl5OJm,spotify:track:421eObjg0DTm2qajJl5OJm,https://api.spotify.com/v1/tracks/421eObjg0DTm2qajJl5OJm,https://api.spotify.com/v1/audio-analysis/421eObjg0DTm2qajJl5OJm,189132.0,4.0,spotify:track:421eObjg0DTm2qajJl5OJm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46666,Into the Unknown,Disney Peaceful Piano,0.412,0.0803,1.0,-24.486,1.0,0.0591,0.989,0.938,0.0984,0.118,128.423,audio_features,15ZbeheZ4y21ruWjIlzUb1,spotify:track:15ZbeheZ4y21ruWjIlzUb1,https://api.spotify.com/v1/tracks/15ZbeheZ4y21ruWjIlzUb1,https://api.spotify.com/v1/audio-analysis/15ZbeheZ4y21ruWjIlzUb1,263078.0,3.0,spotify:track:15ZbeheZ4y21ruWjIlzUb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46667,Ends of the Earth,Lord Huron,0.555,0.584,4.0,-8.667,1.0,0.0301,0.274,0.0228,0.254,0.41,120.965,audio_features,4yyg2J2uXOjCtCyT64984C,spotify:track:4yyg2J2uXOjCtCyT64984C,https://api.spotify.com/v1/tracks/4yyg2J2uXOjCtCyT64984C,https://api.spotify.com/v1/audio-analysis/4yyg2J2uXOjCtCyT64984C,284147.0,4.0,spotify:track:4yyg2J2uXOjCtCyT64984C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46668,Into the Unknown,AURORA,0.371,0.262,7.0,-10.716,0.0,0.0343,0.931,0.000734,0.0786,0.148,150.474,audio_features,0O2szuaez7BKxS8SH7RkV4,spotify:track:0O2szuaez7BKxS8SH7RkV4,https://api.spotify.com/v1/tracks/0O2szuaez7BKxS8SH7RkV4,https://api.spotify.com/v1/audio-analysis/0O2szuaez7BKxS8SH7RkV4,199961.0,3.0,spotify:track:0O2szuaez7BKxS8SH7RkV4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46669,Mine,Bazzi,0.71,0.789,4.0,-3.874,1.0,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,audio_features,7uzmGiiJyRfuViKKK3lVmR,spotify:track:7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/tracks/7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR,131064.0,4.0,spotify:track:7uzmGiiJyRfuViKKK3lVmR,1.0,1.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0,56.0,0.0,1.0,56.0
85973,You’re Mines Still (feat. Drake),Yung Bleu,0.575,0.609,5.0,-4.88,0.0,0.121,0.317,0.0,0.105,0.339,83.004,audio_features,7E2C5rBLpCKwQlhJPVFBRS,spotify:track:7E2C5rBLpCKwQlhJPVFBRS,https://api.spotify.com/v1/tracks/7E2C5rBLpCKwQlhJPVFBRS,https://api.spotify.com/v1/audio-analysis/7E2C5rBLpCKwQlhJPVFBRS,226220.0,4.0,spotify:track:7E2C5rBLpCKwQlhJPVFBRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85974,Mine,Taylor Swift,0.624,0.757,7.0,-2.94,1.0,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,audio_features,0dBW6ZsW8skfvoRfgeerBF,spotify:track:0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/tracks/0dBW6ZsW8skfvoRfgeerBF,https://api.spotify.com/v1/audio-analysis/0dBW6ZsW8skfvoRfgeerBF,230707.0,4.0,spotify:track:0dBW6ZsW8skfvoRfgeerBF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
