,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
0,Dance Monkey,Tones And I,2019-12-07,11,19,11,8,1,Dance MonkeyTones And I,https://www.billboard.com/charts/hot-100/2019-12-07
1,Pray For Me,The Weeknd & Kendrick Lamar,2018-04-07,12,10,7,8,1,Pray For MeThe Weeknd & Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-04-07
2,Into The Unknown,Idina Menzel & AURORA,2019-12-07,55,0,55,1,1,Into The UnknownIdina Menzel & AURORA,https://www.billboard.com/charts/hot-100/2019-12-07
3,Mine,Bazzi,2018-02-03,56,0,56,1,1,MineBazzi,https://www.billboard.com/charts/hot-100/2018-02-03
4,Indica Badu,Logic Featuring Wiz Khalifa,2018-03-24,56,0,56,1,1,Indica BaduLogic Featuring Wiz Khalifa,https://www.billboard.com/charts/hot-100/2018-03-24
5,Final Fantasy,Drake,2018-07-14,56,0,56,1,1,Final FantasyDrake,https://www.billboard.com/charts/hot-100/2018-07-14
6,Eastside,"Benny Blanco, Halsey & Khalid",2018-07-28,56,0,56,1,1,"EastsideBenny Blanco, Halsey & Khalid",https://www.billboard.com/charts/hot-100/2018-07-28
7,"If I'm Lyin, I'm Flyin",Kodak Black,2018-10-13,56,0,56,1,1,"If I'm Lyin, I'm FlyinKodak Black",https://www.billboard.com/charts/hot-100/2018-10-13
8,Hear Me Calling,Juice WRLD,2019-03-16,56,0,56,1,1,Hear Me CallingJuice WRLD,https://www.billboard.com/charts/hot-100/2019-03-16
9,Liar,Camila Cabello,2019-09-21,56,0,56,1,1,LiarCamila Cabello,https://www.billboard.com/charts/hot-100/2019-09-21
10,Heart On Ice,Rod Wave,2019-11-23,56,0,56,1,1,Heart On IceRod Wave,https://www.billboard.com/charts/hot-100/2019-11-23
11,March 14,Drake,2018-07-14,57,0,57,1,1,March 14Drake,https://www.billboard.com/charts/hot-100/2018-07-14
12,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",2019-06-01,57,0,57,1,1,"JealousDJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",https://www.billboard.com/charts/hot-100/2019-06-01
13,Make No Sense,YoungBoy Never Broke Again,2019-10-26,57,0,57,1,1,Make No SenseYoungBoy Never Broke Again,https://www.billboard.com/charts/hot-100/2019-10-26
14,Money Bag,Cardi B,2018-04-21,58,0,58,1,1,Money BagCardi B,https://www.billboard.com/charts/hot-100/2018-04-21
15,Majesty,Nicki Minaj Featuring Eminem & Labrinth,2018-08-25,58,0,58,1,1,MajestyNicki Minaj Featuring Eminem & Labrinth,https://www.billboard.com/charts/hot-100/2018-08-25
16,MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,2018-12-08,58,0,58,1,1,MAMA6ix9ine Featuring Nicki Minaj & Kanye West,https://www.billboard.com/charts/hot-100/2018-12-08
17,MoshPit,Kodak Black Featuring Juice WRLD,2018-12-29,58,0,58,1,1,MoshPitKodak Black Featuring Juice WRLD,https://www.billboard.com/charts/hot-100/2018-12-29
18,Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,2019-08-10,58,0,58,1,1,Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,https://www.billboard.com/charts/hot-100/2019-08-10
19,Internet,Post Malone,2019-09-21,58,0,58,1,1,InternetPost Malone,https://www.billboard.com/charts/hot-100/2019-09-21
20,Nonstop,Drake,2018-07-14,2,0,2,1,1,NonstopDrake,https://www.billboard.com/charts/hot-100/2018-07-14
21,Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-10-13,2,0,2,1,1,Mona LisaLil Wayne Featuring Kendrick Lamar,https://www.billboard.com/charts/hot-100/2018-10-13
22,If I Can't Have You,Shawn Mendes,2019-05-18,2,0,2,1,1,If I Can't Have YouShawn Mendes,https://www.billboard.com/charts/hot-100/2019-05-18
23,I Don't Care,Ed Sheeran & Justin Bieber,2019-05-25,2,0,2,1,1,I Don't CareEd Sheeran & Justin Bieber,https://www.billboard.com/charts/hot-100/2019-05-25
24,No Tears Left To Cry,Ariana Grande,2018-05-05,3,0,3,1,1,No Tears Left To CryAriana Grande,https://www.billboard.com/charts/hot-100/2018-05-05
25,Killshot,Eminem,2018-09-29,3,0,3,1,1,KillshotEminem,https://www.billboard.com/charts/hot-100/2018-09-29
26,Goodbyes,Post Malone Featuring Young Thug,2019-07-20,3,0,3,1,1,GoodbyesPost Malone Featuring Young Thug,https://www.billboard.com/charts/hot-100/2019-07-20
27,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-08-04,4,0,4,1,1,FEFE6ix9ine Featuring Nicki Minaj & Murda Beatz,https://www.billboard.com/charts/hot-100/2018-08-04
28,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-08-11,5,0,5,1,1,"No BrainerDJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",https://www.billboard.com/charts/hot-100/2018-08-11
29,MIA,Bad Bunny Featuring Drake,2018-10-27,5,0,5,1,1,MIABad Bunny Featuring Drake,https://www.billboard.com/charts/hot-100/2018-10-27
30,Homicide,Logic Featuring Eminem,2019-05-18,5,0,5,1,1,HomicideLogic Featuring Eminem,https://www.billboard.com/charts/hot-100/2019-05-18
31,Futsal Shuffle 2020,Lil Uzi Vert,2019-12-28,5,0,5,1,1,Futsal Shuffle 2020Lil Uzi Vert,https://www.billboard.com/charts/hot-100/2019-12-28
32,Look Alive,BlocBoy JB Featuring Drake,2018-02-24,6,0,6,1,1,Look AliveBlocBoy JB Featuring Drake,https://www.billboard.com/charts/hot-100/2018-02-24
33,In My Feelings,Drake,2018-07-14,6,0,6,1,1,In My FeelingsDrake,https://www.billboard.com/charts/hot-100/2018-07-14
34,Lucky You,Eminem Featuring Joyner Lucas,2018-09-15,6,0,6,1,1,Lucky YouEminem Featuring Joyner Lucas,https://www.billboard.com/charts/hot-100/2018-09-15
35,I Love It,Kanye West & Lil Pump,2018-09-22,6,0,6,1,1,I Love ItKanye West & Lil Pump,https://www.billboard.com/charts/hot-100/2018-09-22
36,Going Bad,Meek Mill Featuring Drake,2018-12-15,6,0,6,1,1,Going BadMeek Mill Featuring Drake,https://www.billboard.com/charts/hot-100/2018-12-15
37,Money In The Grave,Drake Featuring Rick Ross,2019-06-29,7,0,7,1,1,Money In The GraveDrake Featuring Rick Ross,https://www.billboard.com/charts/hot-100/2019-06-29
38,Follow God,Kanye West,2019-11-09,7,0,7,1,1,Follow GodKanye West,https://www.billboard.com/charts/hot-100/2019-11-09
39,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-04-21,8,0,8,1,1,"I Like ItCardi B, Bad Bunny & J Balvin",https://www.billboard.com/charts/hot-100/2018-04-21
40,Kevin's Heart,J. Cole,2018-05-05,8,0,8,1,1,Kevin's HeartJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
41,Emotionless,Drake,2018-07-14,8,0,8,1,1,EmotionlessDrake,https://www.billboard.com/charts/hot-100/2018-07-14
42,Filthy,Justin Timberlake,2018-01-20,9,0,9,1,1,FilthyJustin Timberlake,https://www.billboard.com/charts/hot-100/2018-01-20
43,Freaky Friday,Lil Dicky Featuring Chris Brown,2018-03-31,9,0,9,1,1,Freaky FridayLil Dicky Featuring Chris Brown,https://www.billboard.com/charts/hot-100/2018-03-31
